Date,Ticker,Close,High,Low,Open,Volume
2010-01-04,AAPL,6.412383556365967,6.427065366883855,6.363543933606682,6.3950050132949166,493729600
2010-01-04,AMZN,6.695000171661377,6.83050012588501,6.6570000648498535,6.8125,151998000
2010-01-04,GOOG,15.483122825622559,15.55130485063335,15.421115690794622,15.488063305313897,78541293
2010-01-04,MSFT,23.0773868560791,23.189231739431495,22.80895799828548,22.8313275438299,38409100
2010-01-04,SPY,85.02796936035156,85.07298365922549,83.66248029490484,84.30771195788377,118944600
2010-01-05,AAPL,6.423468589782715,6.459723852019821,6.389610022526822,6.430060601116457,601904800
2010-01-05,AMZN,6.734499931335449,6.77400016784668,6.5904998779296875,6.671500205993652,177038000
2010-01-05,GOOG,15.41494083404541,15.510050034329177,15.354415937584445,15.493745410813132,120638494
2010-01-05,MSFT,23.084836959838867,23.18922672763328,22.84623421433943,23.002818154938776,49749600
2010-01-05,SPY,85.25302124023438,85.29053696087703,84.66781263241886,84.9754255142218,111579900
2010-01-06,AAPL,6.321294784545898,6.4489372939698555,6.314702773243294,6.423468559440848,552160000
2010-01-06,AMZN,6.612500190734863,6.736499786376953,6.582499980926514,6.730000019073486,143576000
2010-01-06,GOOG,15.026350021362305,15.46113684800329,14.979413097344569,15.46113684800329,159744526
2010-01-06,MSFT,22.943164825439453,23.1743110307402,22.756756274219796,23.025183620890722,58182400
2010-01-06,SPY,85.31304168701172,85.52311597883121,85.10296739519221,85.17048882152199,116074400
2010-01-07,AAPL,6.309609889984131,6.352157935585538,6.263766638128139,6.3446670120554804,477131200
2010-01-07,AMZN,6.5,6.616000175476074,6.440000057220459,6.600500106811523,220604000
2010-01-07,GOOG,14.676543235778809,15.069334554179608,14.640722628976402,15.054512168888374,257533695
2010-01-07,MSFT,22.70456886291504,22.89097746959846,22.5107037413021,22.838781865091867,50559700
2010-01-07,SPY,85.67316436767578,85.77820150283898,84.9153915576316,85.15547725573244,131091100
2010-01-08,AAPL,6.351556777954102,6.352156451745745,6.264065611905878,6.301218983738794,447610800
2010-01-08,AMZN,6.676000118255615,6.684000015258789,6.451499938964844,6.5279998779296875,196610000
2010-01-08,GOOG,14.872198104858398,14.90258352242368,14.55327182375201,14.624665210924974,189680313
2010-01-08,MSFT,22.86115074157715,23.025189798676656,22.547984234616443,22.577810293462587,51197400
2010-01-08,SPY,85.95826721191406,85.99578292890679,85.27552581058526,85.44808437092446,126402800
2010-01-11,AAPL,6.295529842376709,6.38212254131269,6.245790896895624,6.376129800881372,462229600
2010-01-11,AMZN,6.515500068664551,6.639999866485596,6.4604997634887695,6.63100004196167,175588000
2010-01-11,GOOG,14.84971809387207,14.932475627827987,14.675061766294561,14.932475627827987,289597429
2010-01-11,MSFT,22.570348739624023,22.93570934580916,22.45850388829134,22.898426780575303,68754700
2010-01-11,SPY,86.0783462524414,86.37844920818985,85.7107104006847,86.34093920076978,106375700
2010-01-12,AAPL,6.223915100097656,6.285339866777769,6.184963501800485,6.26796052588379,594459600
2010-01-12,AMZN,6.367499828338623,6.491000175476074,6.327499866485596,6.44950008392334,181926000
2010-01-12,GOOG,14.587116241455078,14.776841841342522,14.525851638919816,14.764243285865016,194859654
2010-01-12,MSFT,22.421220779418945,22.667280015258527,22.301919417932144,22.480871460162348,65912100
2010-01-12,SPY,85.27558135986328,85.68822589511001,84.94546115238711,85.50816292925867,163333500
2010-01-13,AAPL,6.311707019805908,6.32009685372256,6.115450034182275,6.228410754835679,605892000
2010-01-13,AMZN,6.45550012588501,6.485499858856201,6.287499904632568,6.394999980926514,214464000
2010-01-13,GOOG,14.503368377685547,14.535236031397575,14.177525638590716,14.241507828104973,260838034
2010-01-13,MSFT,22.630001068115234,22.756758954762923,22.376485294819854,22.562893867996777,51863500
2010-01-13,SPY,85.99578094482422,86.23586664539218,85.05794528259085,85.49309667955522,161822000
2010-01-14,AAPL,6.27515172958374,6.306013929007738,6.262867017221309,6.295527037973845,432894000
2010-01-14,AMZN,6.367499828338623,6.519000053405762,6.320000171661377,6.456999778747559,195498000
2010-01-14,GOOG,14.571552276611328,14.679014098112878,14.397636602725946,14.424563778627824,170239717
2010-01-14,MSFT,23.084836959838867,23.18922672763328,22.56289380960498,22.600174955270063,63228100
2010-01-14,SPY,86.22837829589844,86.38593402938507,85.84573967223338,85.89825825006226,115718800
2010-01-15,AAPL,6.17028284072876,6.340173400483256,6.168485018927716,6.320097723704928,594067600
2010-01-15,AMZN,6.35699987411499,6.482500076293945,6.353000164031982,6.459000110626221,307530000
2010-01-15,GOOG,14.32822036743164,14.663204413453677,14.279800255803973,14.65776922305315,218194794
2010-01-15,MSFT,23.010272979736328,23.29361336367583,22.898426706580626,23.174311999681887,79913200
2010-01-15,SPY,85.26053619384766,86.16085636093338,84.93041612800474,86.07833206856867,212283100
2010-01-19,AAPL,6.4432454109191895,6.447739965208478,6.20953458861622,6.24219381630371,730007600
2010-01-19,AMZN,6.380499839782715,6.400000095367432,6.2164998054504395,6.315499782562256,177852000
2010-01-19,GOOG,14.516464233398438,14.585635688698664,14.236569890360473,14.357865636884448,173315202
2010-01-19,MSFT,23.189231872558594,23.293620241328796,22.87606534406313,22.92825952844823,46575700
2010-01-19,SPY,86.3259048461914,86.37842342017782,85.2230090683814,85.24552193502865,139172700
2010-01-20,AAPL,6.344065189361572,6.45852324730367,6.277247382679803,6.439346892029634,612152800
2010-01-20,AMZN,6.289000034332275,6.460000038146973,6.254000186920166,6.356500148773193,181494000
2010-01-20,GOOG,14.338347434997559,14.475947786107355,14.211863399571806,14.475947786107355,130515377
2010-01-20,MSFT,22.80894660949707,23.069918821802577,22.600168555215838,22.972985595028234,54849500
2010-01-20,SPY,85.44810485839844,85.8682535137993,84.76536329337203,85.74070920399491,216490200
2010-01-21,AAPL,6.234402656555176,6.39140921432311,6.208634679550814,6.354555070474916,608154400
2010-01-21,AMZN,6.330999851226807,6.40749979019165,6.25,6.36299991607666,199412000
2010-01-21,GOOG,14.401837348937988,14.49670062177967,14.13676540664754,14.413201493799985,253253712
2010-01-21,MSFT,22.376483917236328,22.905883549818302,22.36902740410616,22.823864749755344,73086700
2010-01-21,SPY,83.80502319335938,85.73321379242867,83.6999860186316,85.47062085560925,344859600
2010-01-22,AAPL,5.925185680389404,6.217324935919149,5.9075078986155605,6.195751873393717,881767600
2010-01-22,AMZN,6.071499824523926,6.383500099182129,6.038000106811523,6.28000020980835,231378000
2010-01-22,GOOG,13.58735179901123,14.096003673054634,13.213087978839628,13.945310048999602,273035583
2010-01-22,MSFT,21.59357261657715,22.51816057013847,21.504097280545295,22.36903311383895,102004600
2010-01-22,SPY,81.93685913085938,83.83503837560188,81.84682480960274,83.42989251609248,345942400
2010-01-25,AAPL,6.084587097167969,6.13342630995329,5.998293673249132,6.0678078314073405,1065699600
2010-01-25,AMZN,6.015500068664551,6.113999843597412,5.906000137329102,6.105000019073486,240478000
2010-01-25,GOOG,13.340066909790039,13.584140621132695,13.229146843545385,13.50286438078403,177458675
2010-01-25,MSFT,21.861995697021484,22.115511452486352,21.697956676149577,21.80234501468766,63373000
2010-01-25,SPY,82.35699462890625,82.83717187443516,82.08690315668433,82.68711469642736,186937500
2010-01-26,AAPL,6.170581817626953,6.403394515316552,6.069906207833894,6.170881454561742,1867110000
2010-01-26,AMZN,5.973999977111816,6.14900016784668,5.953000068664551,6.0279998779296875,191180000
2010-01-26,GOOG,13.399849891662598,13.577222862130439,13.248415622938442,13.289917356546649,174873019
