model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_avg_precision,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision
svm_linear,0.5009940357852882,0.5009940357852882,1.0,0.6675496688741722,0.5083791816859545,0.5127146433652705,0.562874251497006,0.562874251497006,1.0,0.7203065134099617,0.5340198840636031,0.5971932910174753
gradient_boosting,0.5089463220675944,0.5074626865671642,0.6746031746031746,0.5792163543441227,0.5097862518181243,0.5401911733079403,0.5329341317365269,0.569364161849711,0.6985815602836879,0.6273885350318471,0.5301499400887334,0.5818312955761582
random_forest,0.4831013916500994,0.4894179894179894,0.7341269841269841,0.5873015873015873,0.5255802188073104,0.5482778252151757,0.5449101796407185,0.5671641791044776,0.8085106382978723,0.6666666666666666,0.5061692412319052,0.5751497241076667
svm_rbf,0.49502982107355864,0.4975369458128079,0.8015873015873016,0.6139817629179332,0.500007904888383,0.5147820623824695,0.5369261477045908,0.5560538116591929,0.8794326241134752,0.6813186813186813,0.47375238835454514,0.5415078648456029
logistic_regression,0.4990059642147117,0.5,0.7936507936507936,0.6134969325153374,0.4767280086005185,0.4969648061311066,0.5429141716566867,0.5577342047930284,0.9078014184397163,0.6909581646423751,0.4722303183393245,0.5609663154532529
