Date,Ticker,Close,High,Low,Open,Volume,Target,ret_1,ret_3,ret_5,hl_range,oc_return,ma_5_ratio,ma_10_ratio,vol_5,vol_10,vol_chg_1,vol_ratio_5,volatility_z,volume_z,anomaly_score,is_anomaly
2010-01-19,AAPL,6.443244934082031,6.447739488038697,6.2095341290750055,6.242193354345524,730007600,0,0.04423858517640156,0.020840461607721572,0.023463565963339983,0.03696978174827503,0.03220848319229724,1.0252010063195038,1.0206997401255657,0.024892514386144256,0.018183526789507336,0.2288291770162183,1.2342380982137615,0.30570653966960615,0.8731210709008295,0.5894138052852178,0
2010-01-20,AAPL,6.344067573547363,6.458525674504352,6.277249741754556,6.439349312023581,612152800,0,-0.01539245543965928,0.010982031772002854,0.019304888558870914,0.02857408604940714,-0.014796796051785454,1.0055757886293324,1.0062543696366573,0.0256035268310247,0.01886162021382794,-0.16144325072780064,1.0288233937722646,0.38967766389960173,0.09637232885758312,0.24302499637859243,0
2010-01-21,AAPL,6.234402179718018,6.3914087254773335,6.208634204684514,6.354554584447921,608154400,0,-0.017286290311063768,0.010392027335978549,-0.012247700638086445,0.029317088555407673,-0.018908076582419126,0.9906207618526742,0.9902247328452916,0.02637084828470309,0.018986727591947975,-0.0065317025422411135,1.0213267401038075,0.40517022998772156,0.06802471702356101,0.23659747350564128,0
2010-01-22,AAPL,5.925183296203613,6.2173224341818925,5.907505521542984,6.195749380337064,881767600,1,-0.049598802675959286,-0.08040384048386728,-0.05577080036240256,0.05228815669507037,-0.04366963018099539,0.9520759261014984,0.9468924308584481,0.034031601772031295,0.024395424328397197,0.44990745771139706,1.286819899887629,1.0749516041896554,1.071952252025822,1.0734519281077386,0
2010-01-25,AAPL,6.084588527679443,6.133427751947065,5.9982950834726685,6.067809257973941,1065699600,1,0.026903004262832653,-0.04090105328478222,-0.013887849906831673,0.02220900688019631,0.0027652928745991396,0.980389470784359,0.976532954741534,0.03758925007342765,0.02632652358879907,0.20859464557327811,1.3670590094571733,1.3140876436787956,1.3753659126509032,1.3447267781648495,0
2010-01-26,AAPL,6.170580863952637,6.403393525660621,6.06990526971917,6.170880500841116,1867110000,1,0.014132810441002785,-0.010236958400439256,-0.04231781857106154,0.054044872483500914,-4.855658579647619e-05,1.0030586957235526,0.9923240511522573,0.029912859246915398,0.026852275444430293,0.7520040356588291,1.8541736529243849,1.3791936789240022,3.217325998092408,2.298259838508205,1
2010-01-27,AAPL,6.228711128234863,6.309610712610992,5.9785194503529135,6.19784891931663,1722568400,0,0.009420549793263788,0.051226741327264236,-0.01818335696698714,0.05315566181215811,0.004979503263147582,1.0163196175476519,1.0015950464568724,0.03048413998861813,0.02682304453665506,-0.07741461402916805,1.4015332042373847,1.3755738942452043,1.5057255551180253,1.4406497246816148,0
2010-01-28,AAPL,5.97132682800293,6.157397338195849,5.953649051401856,6.140318835381202,1173502400,0,-0.04132224065829704,-0.01861452079483672,-0.04219736618387149,0.03412110786475496,-0.027521699102092494,0.9827600470910662,0.965491413810267,0.03482938946122506,0.029290082019894005,-0.31874844563501803,0.874358482221091,1.681077389125236,-0.4877164590576287,1.0843969240914324,0
2010-01-29,AAPL,5.75469446182251,6.058519465791993,5.70046138517537,6.024960934393103,1245952400,1,-0.03627876557761134,-0.067398258170419,-0.02877359667342938,0.06222017224233769,-0.04485779667512777,0.952451699127371,0.938361069593323,0.031179179020487804,0.03090734876276389,0.06173826316844355,0.8805525411144699,1.88135024491149,-0.4642944383865424,1.1728223416490162,0
2010-02-01,AAPL,5.834695339202881,5.872748422808372,5.731922289809643,5.763982635823958,749876400,1,0.013901846207667212,-0.06325799686646272,-0.04106985827221865,0.02413598736724586,0.012268028522402758,0.9737472730683915,0.9566408114004302,0.028209412321015426,0.03148023673615798,-0.39815004168698576,0.5547235796203042,1.9522933413320809,-1.6963738878591146,1.8243336145955977,0
2010-02-02,AAPL,5.868555545806885,5.882338847056262,5.79424757410061,5.870054130774673,698342400,1,0.005803251864154646,-0.01721079504710621,-0.048946010886937175,0.015010724916558712,-0.000255293210999893,0.9893719822142115,0.9713448888139983,0.026783344402862407,0.02677838945341152,-0.06872332560405958,0.6246083801023283,1.370044069875795,-1.4321136879384433,1.4010788789071191,0
2010-02-03,AAPL,5.969529151916504,5.998593531216245,5.825407003167622,5.847879370656247,615328000,0,0.01720587039203636,0.03733207584160003,-0.04161085190537772,0.029011756813855535,0.020802375279947945,1.0152674399150547,0.9942211408921098,0.028352784723053748,0.02787175767371035,-0.11887349243007439,0.6862901855756643,1.5054403963448648,-1.1988720369152794,1.352156216630072,0
2010-02-04,AAPL,5.754393577575684,5.9437592362213305,5.740011011051485,5.8946196006952585,757652000,1,-0.03603895196185636,-0.013762802847246514,-0.03632915375020562,0.035407419117773356,-0.02378881634754438,0.9859536001131264,0.9661140630325037,0.02686637466449294,0.02932975754107779,0.2312977793957045,0.931428366862781,1.6859905736492589,-0.27191418129707556,0.9789523774731672,0
2010-02-05,AAPL,5.856569290161133,5.872749685135227,5.718439859387999,5.771774435315068,850306800,0,0.01775612168476237,-0.0020424541528478724,0.017702908297647424,0.026348160177403594,0.014691297415789582,0.9999693873197719,0.9844025052222052,0.022735794715932192,0.026174085999616837,0.12229202853024868,1.157981074576054,1.2952106640776924,0.5847651455370677,0.93998790480738,0
2010-02-08,AAPL,5.816418170928955,5.929079242796852,5.812822528200335,5.863460363196558,478270800,1,-0.006855740492924811,-0.02564875337586603,-0.0031324974504020053,0.0199876816246775,-0.008022940269686958,0.9937340863324662,0.9820804702735294,0.022304146988010812,0.024307081642793694,-0.43753148863445523,0.703360098826436,1.0640117626257064,-1.1343244005599644,1.0991680815928353,0
2010-02-09,AAPL,5.878442287445068,5.917693523620398,5.835295371279979,5.885333536521226,632886800,0,0.010663627458238123,0.021557216793927747,0.0016846976331761354,0.014017004558571826,-0.0011709190368556104,1.0039917182649023,0.9974731973903556,0.022745056756752206,0.0240392016507542,0.32328128750490315,0.9490138746952865,1.0308390709529978,-0.2054168917080498,0.6181279813305238,0
2010-02-10,AAPL,5.846382141113281,5.890728009582329,5.820614163559372,5.869453386122153,370361600,1,-0.0054538506570456224,-0.0017394396861257766,-0.02062926701073009,0.011992689552381097,-0.003930731448250665,1.0027341066332665,0.9985109498945117,0.020767240820860566,0.023531864203150107,-0.4148059336993598,0.5993918713776243,0.9680133683118378,-1.5274666057536082,1.247739987032723,0
2010-02-11,AAPL,5.9527506828308105,5.985111072370361,5.814621253591397,5.839191082674367,550345600,1,0.018193908497619038,0.023439255551338967,0.0344705489085948,0.02864051055769879,0.019447830795157422,1.0140777826883032,1.0170004246957534,0.012261759492509872,0.021014733229997227,0.4859683077295269,0.9547412097183943,0.6563065885837162,-0.1837597260900637,0.42003315733688995,0
2010-02-12,AAPL,6.00398588180542,6.041739324168033,5.857766301873824,5.935969518154215,655468800,1,0.008606978807693677,0.02135660915281634,0.02517115129021752,0.030641814607146753,0.011458341125773649,1.0176944407615007,1.0214035367625893,0.010828238193244842,0.01680254050810768,0.19101306524482076,1.2195523473527812,0.13469327448197213,0.817588831676564,0.4761410530792681,0
2010-02-16,AAPL,6.094474792480469,6.103163861766478,6.038144260385919,6.050728609029104,543737600,0,0.015071472927554286,0.042435243776238085,0.04780547295262716,0.010668614375234113,0.007229903417926443,1.0233858590760525,1.0322357384835346,0.009115366131435416,0.01688009184251393,-0.17045998222951264,0.9876081099087315,0.14429677822064035,-0.059477857140529715,0.10188731768058504,0
2010-02-17,AAPL,6.0690083503723145,6.121742856374403,6.018370102991459,6.118147212769891,436396800,1,-0.0041786114432001975,0.019530075041916284,0.032417782400322226,0.017032890287027244,-0.008031657410108275,1.0126287226416675,1.0244443181112706,0.010857840037089173,0.017088004648526327,-0.19741286973716732,0.8535677044540444,0.1700434842592163,-0.5663340561793262,0.36818877021927127,0
2010-02-18,AAPL,6.080393314361572,6.109158061063668,6.020167488498762,6.0414409115183485,422825200,0,0.0018759183266834345,0.01272611795902101,0.04002666394361465,0.014635660550891423,0.006447535184687284,1.0066672007555475,1.024448959484681,0.009220572634653723,0.01639510662511699,-0.031099219792629085,0.8103906279348077,0.08423904505422171,-0.7296025035994272,0.4069207743268245,0
2010-02-19,AAPL,6.042637825012207,6.088481462114745,6.025858561772173,6.048331325105957,415469600,0,-0.006209382748347703,-0.008505567622040133,0.015100101947936873,0.010363503846508576,-0.000941334028795226,0.9974476803435967,1.0131673628466396,0.008870764993376393,0.010289098815451724,-0.017396314126972512,0.8397064066505572,-0.6718932546335955,-0.6187487343846634,0.6453209945091294,0
2010-02-22,AAPL,6.005185604095459,6.067508884038335,5.968331462651213,6.062715093311419,390563600,0,-0.0061979920030491575,-0.010516173745738877,0.00019982097121085118,0.016515296599572873,-0.009489063617623774,0.9912262478882958,1.0043849874204513,0.00901491230724882,0.009749925363455546,-0.05994662425361563,0.8840309484032723,-0.7386613418841812,-0.45114129780083106,0.5949013198425062,0
