method,n,mean_return,t_statistic,p_value,ci_lower,ci_upper
one_sample_t_test,501,0.001437051271524873,2.3723543342010434,0.018052604966442874,,
bootstrap_mean_ci,501,0.001437051271524873,,,0.00024495049076510647,0.002707704429948899
